vendor,target
psdef14,https://hop.clickbank.net/?vendor=psdef14&affiliate=monk242&tid=psdef14utm_source=dsp&utm_medium=email&utm_campaign=cbpsdef14
homedoc,https://hop.clickbank.net/?vendor=homedoc&affiliate=monk242&tid=homedocutm_source=dsp&utm_medium=email&utm_campaign=cbhomedoc
byliberty,https://hop.clickbank.net/?vendor=byliberty&affiliate=monk242&tid=bylibertyutm_source=dsp&utm_medium=email&utm_campaign=cbbyliberty
watersb,https://hop.clickbank.net/?vendor=watersb&affiliate=monk242&tid=watersbutm_source=dsp&utm_medium=email&utm_campaign=cbwatersb
homepsh,https://hop.clickbank.net/?vendor=homepsh&affiliate=monk242&tid=homepshutm_source=dsp&utm_medium=email&utm_campaign=cbhomepsh
srff14,https://hop.clickbank.net/?vendor=srff14&affiliate=monk242&tid=srff14utm_source=dsp&utm_medium=email&utm_campaign=cbsrff14
fight4fam,https://hop.clickbank.net/?vendor=fight4fam&affiliate=monk242&tid=fight4famutm_source=dsp&utm_medium=email&utm_campaign=cbfight4fam
srv0000,https://hop.clickbank.net/?vendor=srv0000&affiliate=monk242&tid=srv0000utm_source=dsp&utm_medium=email&utm_campaign=cbsrv0000
blackoutp,https://hop.clickbank.net/?vendor=blackoutp&affiliate=monk242&tid=blackoutputm_source=dsp&utm_medium=email&utm_campaign=cbblackoutp
gridphan,https://hop.clickbank.net/?vendor=gridphan&affiliate=monk242&tid=gridphanutm_source=dsp&utm_medium=email&utm_campaign=cbgridphan
wiseaff15,https://hop.clickbank.net/?vendor=wiseaff15&affiliate=monk242&tid=wiseaff15utm_source=dsp&utm_medium=email&utm_campaign=cbwiseaff15
final18,https://hop.clickbank.net/?vendor=final18&affiliate=monk242&tid=final18utm_source=dsp&utm_medium=email&utm_campaign=cbfinal18
toughmind,https://hop.clickbank.net/?vendor=toughmind&affiliate=monk242&tid=toughmindutm_source=dsp&utm_medium=email&utm_campaign=cbtoughmind
forager1,https://hop.clickbank.net/?vendor=forager1&affiliate=monk242&tid=forager1utm_source=dsp&utm_medium=email&utm_campaign=cbforager1
darkreset,https://hop.clickbank.net/?vendor=darkreset&affiliate=monk242&tid=darkresetutm_source=dsp&utm_medium=email&utm_campaign=cbdarkreset
survmd1,https://hop.clickbank.net/?vendor=survmd1&affiliate=monk242&tid=survmd1utm_source=dsp&utm_medium=email&utm_campaign=cbsurvmd1
60min,https://hop.clickbank.net/?vendor=60min&affiliate=monk242&tid=60minutm_source=dsp&utm_medium=email&utm_campaign=cb60min
bousa1,https://hop.clickbank.net/?vendor=bousa1&affiliate=monk242&tid=bousa1utm_source=dsp&utm_medium=email&utm_campaign=cbbousa1
septifix,https://hop.clickbank.net/?vendor=septifix&affiliate=monk242&tid=septifixutm_source=dsp&utm_medium=email&utm_campaign=cbseptifix
semak007,https://hop.clickbank.net/?vendor=semak007&affiliate=monk242&tid=semak007utm_source=dsp&utm_medium=email&utm_campaign=cbsemak007
alphadrop,https://hop.clickbank.net/?vendor=alphadrop&affiliate=monk242&tid=alphadroputm_source=dsp&utm_medium=email&utm_campaign=cbalphadrop
takeoverus,https://hop.clickbank.net/?vendor=takeoverus&affiliate=monk242&tid=takeoverusutm_source=dsp&utm_medium=email&utm_campaign=cbtakeoverus
urbancode,https://hop.clickbank.net/?vendor=urbancode&affiliate=monk242&tid=urbancodeutm_source=dsp&utm_medium=email&utm_campaign=cburbancode
aquatower,https://hop.clickbank.net/?vendor=aquatower&affiliate=monk242&tid=aquatowerutm_source=dsp&utm_medium=email&utm_campaign=cbaquatower
bulletph,https://hop.clickbank.net/?vendor=bulletph&affiliate=monk242&tid=bulletphutm_source=dsp&utm_medium=email&utm_campaign=cbbulletph
easypp,https://hop.clickbank.net/?vendor=easypp&affiliate=monk242&tid=easypputm_source=dsp&utm_medium=email&utm_campaign=cbeasypp
blackopse,https://hop.clickbank.net/?vendor=blackopse&affiliate=monk242&tid=blackopseutm_source=dsp&utm_medium=email&utm_campaign=cbblackopse
lostways2,https://hop.clickbank.net/?vendor=lostways2&affiliate=monk242&tid=lostways2utm_source=dsp&utm_medium=email&utm_campaign=cblostways2
manlibrary,https://hop.clickbank.net/?vendor=manlibrary&affiliate=monk242&tid=manlibraryutm_source=dsp&utm_medium=email&utm_campaign=cbmanlibrary
bookofren,https://hop.clickbank.net/?vendor=bookofren&affiliate=monk242&tid=bookofrenutm_source=dsp&utm_medium=email&utm_campaign=cbbookofren
solarsw,https://hop.clickbank.net/?vendor=solarsw&affiliate=monk242&tid=solarswutm_source=dsp&utm_medium=email&utm_campaign=cbsolarsw
shtfhomest,https://hop.clickbank.net/?vendor=shtfhomest&affiliate=monk242&tid=shtfhomestutm_source=dsp&utm_medium=email&utm_campaign=cbshtfhomest
lastman14,https://hop.clickbank.net/?vendor=lastman14&affiliate=monk242&tid=lastman14utm_source=dsp&utm_medium=email&utm_campaign=cblastman14
alkadiy,https://hop.clickbank.net/?vendor=alkadiy&affiliate=monk242&tid=alkadiyutm_source=dsp&utm_medium=email&utm_campaign=cbalkadiy
cluckboss,https://hop.clickbank.net/?vendor=cluckboss&affiliate=monk242&tid=cluckbossutm_source=dsp&utm_medium=email&utm_campaign=cbcluckboss
chprepper,https://hop.clickbank.net/?vendor=chprepper&affiliate=monk242&tid=chprepperutm_source=dsp&utm_medium=email&utm_campaign=cbchprepper
solartrack,https://hop.clickbank.net/?vendor=solartrack&affiliate=monk242&tid=solartrackutm_source=dsp&utm_medium=email&utm_campaign=cbsolartrack
easycellar,https://hop.clickbank.net/?vendor=easycellar&affiliate=monk242&tid=easycellarutm_source=dsp&utm_medium=email&utm_campaign=cbeasycellar
1winonline,https://hop.clickbank.net/?vendor=1winonline&affiliate=monk242&tid=1winonlineutm_source=dsp&utm_medium=email&utm_campaign=cb1winonline
video2,https://hop.clickbank.net/?vendor=video2&affiliate=monk242&tid=video2utm_source=dsp&utm_medium=email&utm_campaign=cbvideo2
3dsolarp,https://hop.clickbank.net/?vendor=3dsolarp&affiliate=monk242&tid=3dsolarputm_source=dsp&utm_medium=email&utm_campaign=cb3dsolarp
lostways,https://hop.clickbank.net/?vendor=lostways&affiliate=monk242&tid=lostwaysutm_source=dsp&utm_medium=email&utm_campaign=cblostways
smartsb,https://hop.clickbank.net/?vendor=smartsb&affiliate=monk242&tid=smartsbutm_source=dsp&utm_medium=email&utm_campaign=cbsmartsb
alivefall,https://hop.clickbank.net/?vendor=alivefall&affiliate=monk242&tid=alivefallutm_source=dsp&utm_medium=email&utm_campaign=cbalivefall
aidefense,https://hop.clickbank.net/?vendor=aidefense&affiliate=monk242&tid=aidefenseutm_source=dsp&utm_medium=email&utm_campaign=cbaidefense
finalcllps,https://hop.clickbank.net/?vendor=finalcllps&affiliate=monk242&tid=finalcllpsutm_source=dsp&utm_medium=email&utm_campaign=cbfinalcllps
surmd1,https://hop.clickbank.net/?vendor=surmd1&affiliate=monk242&tid=surmd1utm_source=dsp&utm_medium=email&utm_campaign=cbsurmd1
bcraft15,https://hop.clickbank.net/?vendor=bcraft15&affiliate=monk242&tid=bcraft15utm_source=dsp&utm_medium=email&utm_campaign=cbbcraft15
patprivacy,https://hop.clickbank.net/?vendor=patprivacy&affiliate=monk242&tid=patprivacyutm_source=dsp&utm_medium=email&utm_campaign=cbpatprivacy
affsub101,https://hop.clickbank.net/?vendor=affsub101&affiliate=monk242&tid=affsub101utm_source=dsp&utm_medium=email&utm_campaign=cbaffsub101
